Provinsi,Tingkat Vaksinasi
Kepulauan Riau,0.1670
Sulawesi Utara,0.1103
Gorontalo,0.1119
Kalimantan Tengah,0.1276
Papua Barat,0.0936
Sulawesi Tenggara,0.0844
Bangka Belitung,0.1190
Kalimantan Utara,0.0842
Sumatera Utara,0.0959
Sulawesi Barat,0.0760
Bengkulu,0.0813
Maluku,0.0669
Sulawesi Tengah,0.0721
Bali,0.2991
Yogyakarta,0.1616
Jambi,0.1066
Riau,0.1194
Kalimantan Timur,0.1179
Aceh,0.0731
NTT,0.0832
NTB,0.0598
Sumatera Barat,0.0593
Kalimantan Selatan,0.0853
Kalimantan Barat,0.0770
Papua,0.0760
Jawa Tengah,0.1058
Jawa Barat,0.0818
Jawa Timur,0.1074
Jakarta,0.3707
Banten,0.0948
Sulawesi Selatan,0.1006
Sumatera Selatan,0.0897
Lampung,0.0612
